2015-04-01T11:16:22.494+0300 W -        [initandlisten] Detected unclean shutdown - C:\Users\hjusein\Desktop\work\Training\nodeJStraining\restfulApi\data\mongod.lock is not empty.
2015-04-02T18:53:42.212+0300 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.1j-fips 15 Oct 2014
2015-04-02T18:53:42.212+0300 I CONTROL  [initandlisten] build info: windows sys.getwindowsversion(major=6, minor=1, build=7601, platform=2, service_pack='Service Pack 1') BOOST_LIB_VERSION=1_49
2015-04-02T18:53:42.212+0300 I CONTROL  [initandlisten] allocator: system
2015-04-02T18:53:42.212+0300 I CONTROL  [initandlisten] options: { config: "C:\Users\hjusein\Desktop\work\Training\nodeJStraining\restfulApi\data\mongod.conf", net: { bindIp: "127.0.0.1", port: 27017 }, storage: { dbPath: "C:\Users\hjusein\Desktop\work\Training\nodeJStraining\restfulApi\data", journal: { enabled: true } }, systemLog: { destination: "file", logAppend: true, path: "C:\Users\hjusein\Desktop\work\Training\nodeJStraining\restfulApi\data\mongod.log", quiet: true } }
2015-04-02T18:53:42.232+0300 I NETWORK  [initandlisten] waiting for connections on port 27017
2015-04-02T18:54:58.817+0300 I CONTROL  CTRL_CLOSE_EVENT signal
2015-04-02T18:54:58.817+0300 I CONTROL  [consoleTerminate] got CTRL_CLOSE_EVENT, will terminate after current cmd ends
2015-04-02T18:54:58.817+0300 I CONTROL  [consoleTerminate] now exiting
2015-04-02T18:54:58.817+0300 I NETWORK  [consoleTerminate] shutdown: going to close listening sockets...
2015-04-02T18:54:58.817+0300 I NETWORK  [consoleTerminate] closing listening socket: 440
2015-04-02T18:54:58.817+0300 I NETWORK  [consoleTerminate] shutdown: going to flush diaglog...
2015-04-02T18:54:58.817+0300 I NETWORK  [consoleTerminate] shutdown: going to close sockets...
2015-04-02T18:54:58.818+0300 I STORAGE  [consoleTerminate] shutdown: waiting for fs preallocator...
2015-04-02T18:54:58.818+0300 I STORAGE  [consoleTerminate] shutdown: final commit...
2015-04-02T18:54:58.821+0300 I JOURNAL  [consoleTerminate] journalCleanup...
2015-04-02T18:54:58.825+0300 I JOURNAL  [consoleTerminate] removeJournalFiles
2015-04-02T18:54:58.826+0300 I JOURNAL  [consoleTerminate] Terminating durability thread ...
